Education,Percentage,Favorite_Subject,Programming_Skill,Communication,Problem_Solving,Interest,Work_Style,Career
Diploma CSE,82,Testing,Good,Good,Good,Software Testing,Office,QA Engineer
Diploma CSE,72,SQL,Good,Average,Good,Database,Hybrid,Database Administrator
Diploma CSE,95,Cyber Security,Excellent,Good,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,88,Python,Excellent,Good,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,78,HTML CSS JS,Good,Good,Excellent,Web Development,Hybrid,Web Developer
Diploma CSE,79,Networking,Good,Average,Good,Networking,Hybrid,Network Engineer
Diploma CSE,94,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,95,Cyber Security,Excellent,Excellent,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,83,Testing,Excellent,Good,Good,Software Testing,Remote,QA Engineer
Diploma CSE,84,Cloud Computing,Good,Good,Good,Cloud,Office,Cloud Engineer
Diploma CSE,93,SQL,Good,Good,Excellent,Database,Hybrid,Database Administrator
Diploma CSE,89,Java,Good,Excellent,Good,Software Development,Office,Software Engineer
Diploma CSE,95,Cloud Computing,Good,Good,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,92,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,90,Cyber Security,Excellent,Excellent,Good,Security,Remote,Cyber Security Analyst
Diploma CSE,88,HTML CSS JS,Excellent,Excellent,Excellent,Web Development,Hybrid,Web Developer
Diploma CSE,71,HTML CSS JS,Excellent,Average,Good,Web Development,Remote,Web Developer
Diploma CSE,78,Java,Good,Average,Good,Software Development,Remote,Software Engineer
Diploma CSE,87,SQL,Good,Good,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,76,Java,Excellent,Average,Good,Software Development,Remote,Software Engineer
Diploma CSE,77,Java,Good,Good,Good,Software Development,Office,Software Engineer
Diploma CSE,87,UI UX,Good,Excellent,Good,Design,Hybrid,UI UX Designer
Diploma CSE,80,Cyber Security,Excellent,Excellent,Good,Security,Office,Cyber Security Analyst
Diploma CSE,89,Cyber Security,Good,Good,Excellent,Security,Remote,Cyber Security Analyst
Diploma CSE,90,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,81,UI UX,Good,Good,Good,Design,Remote,UI UX Designer
Diploma CSE,82,UI UX,Good,Excellent,Average,Design,Remote,UI UX Designer
Diploma CSE,87,Cyber Security,Excellent,Excellent,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,91,SQL,Excellent,Good,Good,Database,Hybrid,Database Administrator
Diploma CSE,87,SQL,Excellent,Excellent,Good,Database,Remote,Database Administrator
Diploma CSE,88,Cyber Security,Excellent,Excellent,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,80,HTML CSS JS,Good,Good,Good,Web Development,Hybrid,Web Developer
Diploma CSE,85,SQL,Good,Good,Good,Database,Hybrid,Database Administrator
Diploma CSE,95,Java,Excellent,Good,Good,Software Development,Office,Software Engineer
Diploma CSE,84,HTML CSS JS,Good,Good,Good,Web Development,Remote,Web Developer
Diploma CSE,89,Python,Excellent,Good,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,85,SQL,Good,Good,Excellent,Database,Remote,Database Administrator
Diploma CSE,92,Cyber Security,Good,Excellent,Good,Security,Office,Cyber Security Analyst
Diploma CSE,89,Testing,Good,Good,Good,Software Testing,Remote,QA Engineer
Diploma CSE,91,Testing,Excellent,Good,Good,Software Testing,Office,QA Engineer
Diploma CSE,91,Cyber Security,Good,Good,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,82,Cloud Computing,Excellent,Good,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,88,HTML CSS JS,Excellent,Excellent,Excellent,Web Development,Office,Web Developer
Diploma CSE,92,Python,Good,Excellent,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,80,Cyber Security,Excellent,Good,Good,Security,Office,Cyber Security Analyst
Diploma CSE,88,HTML CSS JS,Good,Excellent,Good,Web Development,Office,Web Developer
Diploma CSE,85,HTML CSS JS,Good,Excellent,Excellent,Web Development,Office,Web Developer
Diploma CSE,91,Cloud Computing,Excellent,Good,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,87,Networking,Excellent,Excellent,Good,Networking,Office,Network Engineer
Diploma CSE,92,Cyber Security,Excellent,Good,Excellent,Security,Remote,Cyber Security Analyst
Diploma CSE,91,SQL,Excellent,Excellent,Good,Database,Hybrid,Database Administrator
Diploma CSE,85,UI UX,Good,Excellent,Average,Design,Hybrid,UI UX Designer
Diploma CSE,86,UI UX,Good,Good,Good,Design,Remote,UI UX Designer
Diploma CSE,85,Testing,Excellent,Good,Good,Software Testing,Office,QA Engineer
Diploma CSE,78,SQL,Excellent,Good,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,95,Cloud Computing,Excellent,Good,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,75,SQL,Excellent,Good,Excellent,Database,Office,Database Administrator
Diploma CSE,81,Cloud Computing,Good,Excellent,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,85,Python,Good,Excellent,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,78,SQL,Good,Average,Excellent,Data Science,Office,Data Analyst
Diploma CSE,90,HTML CSS JS,Excellent,Excellent,Excellent,Web Development,Hybrid,Web Developer
Diploma CSE,88,Python,Excellent,Good,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,75,HTML CSS JS,Good,Average,Excellent,Web Development,Remote,Web Developer
Diploma CSE,91,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,81,SQL,Excellent,Excellent,Excellent,Database,Hybrid,Database Administrator
Diploma CSE,95,Cyber Security,Good,Good,Good,Security,Remote,Cyber Security Analyst
Diploma CSE,94,Cyber Security,Good,Good,Excellent,Security,Hybrid,Cyber Security Analyst
Diploma CSE,72,HTML CSS JS,Good,Average,Excellent,Web Development,Remote,Web Developer
Diploma CSE,88,UI UX,Good,Excellent,Good,Design,Remote,UI UX Designer
Diploma CSE,79,Java,Excellent,Average,Good,Software Development,Remote,Software Engineer
Diploma CSE,89,Python,Excellent,Good,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,85,Java,Good,Excellent,Excellent,Software Development,Office,Software Engineer
Diploma CSE,80,Networking,Good,Good,Good,Networking,Hybrid,Network Engineer
Diploma CSE,74,SQL,Excellent,Average,Excellent,Database,Office,Database Administrator
Diploma CSE,81,Java,Good,Excellent,Good,Software Development,Office,Software Engineer
Diploma CSE,84,UI UX,Good,Excellent,Average,Design,Hybrid,UI UX Designer
Diploma CSE,81,Cloud Computing,Good,Good,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,83,Networking,Excellent,Excellent,Good,Networking,Remote,Network Engineer
Diploma CSE,89,Cyber Security,Good,Good,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,79,Networking,Excellent,Good,Good,Networking,Office,Network Engineer
Diploma CSE,77,Cloud Computing,Good,Average,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,88,Cyber Security,Good,Good,Excellent,Security,Remote,Cyber Security Analyst
Diploma CSE,74,Testing,Excellent,Average,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,72,Networking,Excellent,Average,Good,Networking,Hybrid,Network Engineer
Diploma CSE,79,HTML CSS JS,Excellent,Average,Good,Web Development,Hybrid,Web Developer
Diploma CSE,93,Python,Excellent,Good,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,88,Networking,Excellent,Excellent,Excellent,Networking,Hybrid,Network Engineer
Diploma CSE,79,Cyber Security,Good,Average,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,91,Cyber Security,Excellent,Excellent,Good,Security,Office,Cyber Security Analyst
Diploma CSE,88,SQL,Good,Excellent,Good,Database,Office,Database Administrator
Diploma CSE,79,Testing,Excellent,Average,Good,Software Testing,Office,QA Engineer
Diploma CSE,93,Cloud Computing,Excellent,Excellent,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,93,Java,Excellent,Good,Good,Software Development,Office,Software Engineer
Diploma CSE,76,Cloud Computing,Excellent,Average,Good,Cloud,Office,Cloud Engineer
Diploma CSE,85,Python,Excellent,Excellent,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,94,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,83,UI UX,Good,Good,Good,Design,Remote,UI UX Designer
Diploma CSE,75,Java,Excellent,Average,Good,Software Development,Hybrid,Software Engineer
Diploma CSE,73,Networking,Good,Good,Excellent,Networking,Hybrid,Network Engineer
Diploma CSE,76,SQL,Good,Average,Good,Database,Office,Database Administrator
Diploma CSE,92,Testing,Good,Excellent,Excellent,Software Testing,Hybrid,QA Engineer
Diploma CSE,82,HTML CSS JS,Excellent,Excellent,Excellent,Web Development,Remote,Web Developer
Diploma CSE,93,SQL,Excellent,Excellent,Good,Data Science,Office,Data Analyst
Diploma CSE,75,Java,Good,Good,Excellent,Software Development,Remote,Software Engineer
Diploma CSE,82,Cloud Computing,Good,Good,Good,Cloud,Office,Cloud Engineer
Diploma CSE,95,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,84,Testing,Excellent,Excellent,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,84,Testing,Excellent,Excellent,Good,Software Testing,Office,QA Engineer
Diploma CSE,78,Cyber Security,Excellent,Average,Good,Security,Remote,Cyber Security Analyst
Diploma CSE,76,Cyber Security,Good,Average,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,89,Testing,Good,Good,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,92,Cloud Computing,Excellent,Good,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,89,Java,Good,Good,Good,Software Development,Remote,Software Engineer
Diploma CSE,87,Cloud Computing,Excellent,Excellent,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,90,Cyber Security,Excellent,Excellent,Good,Security,Remote,Cyber Security Analyst
Diploma CSE,82,Networking,Excellent,Good,Excellent,Networking,Remote,Network Engineer
Diploma CSE,73,Testing,Good,Good,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,83,SQL,Excellent,Excellent,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,83,Cyber Security,Excellent,Good,Excellent,Security,Remote,Cyber Security Analyst
Diploma CSE,78,Networking,Excellent,Good,Excellent,Networking,Hybrid,Network Engineer
Diploma CSE,95,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,82,Cyber Security,Excellent,Good,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,81,UI UX,Good,Good,Average,Design,Remote,UI UX Designer
Diploma CSE,84,Cloud Computing,Good,Excellent,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,90,Cloud Computing,Excellent,Good,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,86,SQL,Good,Good,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,74,UI UX,Good,Good,Good,Design,Hybrid,UI UX Designer
Diploma CSE,93,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,91,Networking,Good,Good,Good,Networking,Office,Network Engineer
Diploma CSE,72,UI UX,Good,Average,Average,Design,Hybrid,UI UX Designer
Diploma CSE,92,Java,Excellent,Good,Excellent,Software Development,Office,Software Engineer
Diploma CSE,79,Cloud Computing,Excellent,Good,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,90,Testing,Good,Good,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,83,Java,Excellent,Excellent,Good,Software Development,Office,Software Engineer
Diploma CSE,96,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,75,HTML CSS JS,Excellent,Average,Good,Web Development,Office,Web Developer
Diploma CSE,75,Testing,Excellent,Good,Good,Software Testing,Remote,QA Engineer
Diploma CSE,78,Cyber Security,Excellent,Average,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,88,Networking,Good,Good,Excellent,Networking,Office,Network Engineer
Diploma CSE,92,HTML CSS JS,Excellent,Good,Excellent,Web Development,Office,Web Developer
Diploma CSE,85,HTML CSS JS,Good,Good,Good,Web Development,Office,Web Developer
Diploma CSE,93,Python,Excellent,Good,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,92,Networking,Excellent,Good,Good,Networking,Office,Network Engineer
Diploma CSE,85,Networking,Good,Good,Good,Networking,Remote,Network Engineer
Diploma CSE,83,Testing,Excellent,Excellent,Good,Software Testing,Office,QA Engineer
Diploma CSE,77,Java,Excellent,Good,Good,Software Development,Hybrid,Software Engineer
Diploma CSE,83,Networking,Excellent,Good,Good,Networking,Hybrid,Network Engineer
Diploma CSE,90,Python,Good,Good,Good,Data Science,Office,Data Analyst
Diploma CSE,74,Testing,Good,Good,Good,Software Testing,Office,QA Engineer
Diploma CSE,80,Java,Excellent,Excellent,Good,Software Development,Office,Software Engineer
Diploma CSE,84,Cloud Computing,Good,Excellent,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,74,UI UX,Good,Good,Average,Design,Remote,UI UX Designer
Diploma CSE,94,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,93,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,94,Networking,Good,Excellent,Good,Networking,Office,Network Engineer
Diploma CSE,79,Testing,Excellent,Average,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,87,HTML CSS JS,Good,Good,Good,Web Development,Remote,Web Developer
Diploma CSE,78,UI UX,Good,Average,Average,Design,Office,UI UX Designer
Diploma CSE,87,HTML CSS JS,Good,Excellent,Good,Web Development,Office,Web Developer
Diploma CSE,93,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,89,SQL,Excellent,Excellent,Excellent,Database,Remote,Database Administrator
Diploma CSE,79,HTML CSS JS,Excellent,Good,Good,Web Development,Hybrid,Web Developer
Diploma CSE,96,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,75,Java,Excellent,Average,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,91,SQL,Excellent,Good,Excellent,Database,Office,Database Administrator
Diploma CSE,73,Networking,Good,Good,Excellent,Networking,Remote,Network Engineer
Diploma CSE,76,UI UX,Good,Good,Average,Design,Office,UI UX Designer
Diploma CSE,94,Cyber Security,Excellent,Good,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,78,SQL,Excellent,Average,Good,Data Science,Remote,Data Analyst
Diploma CSE,76,HTML CSS JS,Good,Average,Good,Web Development,Hybrid,Web Developer
Diploma CSE,81,Cloud Computing,Excellent,Good,Good,Cloud,Office,Cloud Engineer
Diploma CSE,86,Testing,Good,Good,Good,Software Testing,Office,QA Engineer
Diploma CSE,78,Cloud Computing,Excellent,Average,Excellent,Cloud,Office,Cloud Engineer
Diploma CSE,83,SQL,Good,Excellent,Excellent,Data Science,Hybrid,Data Analyst
Diploma CSE,74,Testing,Good,Average,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,81,HTML CSS JS,Excellent,Good,Excellent,Web Development,Office,Web Developer
Diploma CSE,82,Networking,Good,Excellent,Excellent,Networking,Office,Network Engineer
Diploma CSE,70,HTML CSS JS,Good,Average,Excellent,Web Development,Hybrid,Web Developer
Diploma CSE,85,Java,Good,Excellent,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,90,Networking,Excellent,Excellent,Excellent,Networking,Hybrid,Network Engineer
Diploma CSE,79,Cloud Computing,Excellent,Average,Good,Cloud,Hybrid,Cloud Engineer
Diploma CSE,80,Java,Excellent,Good,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,91,Networking,Good,Excellent,Good,Networking,Office,Network Engineer
Diploma CSE,76,UI UX,Good,Average,Good,Design,Remote,UI UX Designer
Diploma CSE,95,Cloud Computing,Good,Excellent,Good,Cloud,Office,Cloud Engineer
Diploma CSE,79,SQL,Excellent,Good,Good,Database,Hybrid,Database Administrator
Diploma CSE,91,Cloud Computing,Good,Good,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,74,Cyber Security,Good,Good,Excellent,Security,Hybrid,Cyber Security Analyst
Diploma CSE,77,Testing,Good,Good,Excellent,Software Testing,Remote,QA Engineer
Diploma CSE,93,Cyber Security,Excellent,Good,Excellent,Security,Remote,Cyber Security Analyst
Diploma CSE,90,UI UX,Good,Excellent,Average,Design,Office,UI UX Designer
Diploma CSE,94,Python,Good,Excellent,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,86,Java,Excellent,Excellent,Excellent,Software Development,Office,Software Engineer
Diploma CSE,78,Cyber Security,Good,Average,Good,Security,Office,Cyber Security Analyst
Diploma CSE,93,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,75,Cloud Computing,Excellent,Average,Good,Cloud,Remote,Cloud Engineer
Diploma CSE,77,Testing,Excellent,Good,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,71,HTML CSS JS,Good,Good,Excellent,Web Development,Hybrid,Web Developer
Diploma CSE,79,Testing,Good,Average,Excellent,Software Testing,Hybrid,QA Engineer
Diploma CSE,84,SQL,Good,Excellent,Excellent,Database,Hybrid,Database Administrator
Diploma CSE,75,Cloud Computing,Excellent,Good,Good,Cloud,Hybrid,Cloud Engineer
Diploma CSE,86,UI UX,Good,Excellent,Good,Design,Office,UI UX Designer
Diploma CSE,76,Networking,Good,Good,Excellent,Networking,Office,Network Engineer
Diploma CSE,84,Cyber Security,Good,Good,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,85,SQL,Excellent,Good,Good,Database,Hybrid,Database Administrator
Diploma CSE,78,Python,Excellent,Good,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,95,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,89,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,76,Java,Excellent,Good,Good,Software Development,Remote,Software Engineer
Diploma CSE,94,Java,Good,Excellent,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,89,Testing,Excellent,Excellent,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,72,Networking,Excellent,Good,Good,Networking,Hybrid,Network Engineer
Diploma CSE,76,Cyber Security,Excellent,Average,Good,Security,Office,Cyber Security Analyst
Diploma CSE,93,Networking,Good,Excellent,Good,Networking,Hybrid,Network Engineer
